time_stamp,humidity,temperature,pressure
1713231000,54.2,92.2,976.944
1713300600,61.8,85.0,973.998
1711738800,66.4,85.0,977.512
1712314800,58.4,89.2,973.886
1712342400,66.8,85.0,973.788
1712356200,68.0,82.6,974.206
1713638400,65.8,86.0,974.21
1713603600,68.2,86.0,972.206
1713648000,65.6,85.0,973.678
1710945000,61.0,87.4,976.41
1710961200,63.6,85.0,974.568
1712604600,68.0,86.8,973.794
1712574600,63.6,89.2,973.152
1712535600,61.4,88.4,975.186
1712212800,42.8,100.8,971.25
1712214000,43.0,102.0,971.022
1712231400,63.0,87.75,974.037
1712669400,68.8,84.2,975.358
1710114600,64.6,84.4,976.136
1709508600,65.0,86.0,975.72
1709792400,53.0,95.0,971.27
1709876400,41.4,103.8,970.542
1712507400,64.8,86.6,974.226
1710499200,64.75,86.25,974.01
1712028000,48.2,97.6,975.25
1713081000,51.0,96.8,973.9
1711863600,44.4,100.0,975.87
1710239400,45.2,90.0,973.474
1714138200,66.2,87.0,975.05
1714161000,66.8,84.4,973.626
1710633000,62.6,84.8,975.238
1713504600,42.4,100.6,971.76
1713567600,67.0,83.8,973.858
1713484800,65.4,85.0,974.97
1710186000,64.2,85.0,973.58
1710170400,63.8,86.6,975.512
1710132000,53.0,92.2,975.012
1714286400,47.667,99.0,973.033
1714303200,60.2,87.6,975.288
1713806400,68.0,84.0,974.714
1710345000,53.8,85.0,974.396
1714643400,53.8,90.4,973.848
1709616000,43.8,102.4,972.114
1709596800,60.8,88.0,975.624
1709585400,64.4,85.8,974.492
1711977600,66.0,86.0,977.152
1712718600,45.8,97.4,975.692
1712742000,62.2,86.4,974.308
1712730000,58.4,91.2,973.604
1710881400,64.0,82.0,974.756
1712398800,54.2,91.8,972.736
1712403000,62.6,88.0,973.672
1712406600,64.8,86.4,974.036
1710408600,56.2,88.8,972.348
1713150600,46.0,98.8,977.102
1713182400,60.8,88.0,976.924
1710723000,52.4,87.2,975.816
1710802800,64.6,80.0,975.604
1711609200,44.8,97.4,975.04
1711614600,62.6,85.8,975.994
1711601400,44.6,98.2,976.472
1709987400,69.4,80.8,975.838
1709970600,58.6,89.8,971.95
1713259800,45.0,96.8,973.95
1713264000,54.0,90.0,974.142
1711681200,50.833,95.667,978.155
1711753200,68.6,82.4,977.964
1712277000,64.2,87.8,975.564
1713616800,65.4,86.6,974.768
1710934800,55.8,89.0,975.056
1710903600,38.0,95.8,975.574
1710964200,64.4,84.6,974.274
1710906600,34.6,99.0,975.208
1712191200,62.8,88.6,975.444
1712638200,42.0,101.6,973.104
1712683200,70.2,83.0,975.016
1709483400,65.2,85.8,976.072
1709794200,50.4,95.8,971.138
1709787600,42.6,101.4,972.33
1711528200,43.2,97.0,975.84
1711501200,57.6,89.2,979.572
1713107400,68.2,85.0,978.224
1711915800,67.2,85.0,976.308
1711888800,64.0,86.4,977.59
1712146800,64.2,88.0,975.176
1712172000,68.0,85.0,974.154
1714081200,66.2,83.0,973.624
1714120200,67.8,87.0,971.58
1712881800,67.6,85.0,975.906
1712914200,57.75,90.75,973.33
1713316200,61.6,88.2,976.176
1713343200,54.4,91.2,973.78
1713360600,66.0,85.0,976.2
1711046400,64.6,86.2,975.066
1711050000,64.2,86.6,974.728
1711033200,63.8,86.6,976.418
1710979200,61.6,87.4,976.058
1711053000,65.4,85.2,974.52
1713450600,68.4,84.0,976.342
1713456000,67.8,83.8,976.338
1710715800,64.2,81.0,975.302
1710717600,64.2,81.4,975.414
1711091400,48.4,95.6,972.942
1711093200,52.2,90.6,973.424
1711117800,63.0,86.4,976.42
1710591000,63.4,87.6,975.536
1710597600,63.2,86.8,976.112
1710605400,64.6,84.6,975.742
1713556800,66.2,84.0,972.948
1713493800,52.0,94.2,974.618
1713528000,66.4,85.6,974.508
1710178800,65.4,85.0,974.012
1710185400,64.2,85.0,973.546
1713941400,53.2,96.4,972.406
1713937200,47.8,97.4,972.602
1713877200,67.8,85.0,974.992
1713830400,65.2,86.4,974.144
