time_stamp,humidity,temperature,pressure,voc,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count
1714194000,44.4,101.0,973.196,95.622,40.1,40.1,7663.718000000001,2278.62,442.493,40.742,8.952
1713849000,46.2,101.0,972.33,87.978,37.2,37.2,8526.060000000001,2486.666,354.648,34.594,6.443
1713586200,44.2,101.0,972.988,68.298,22.1,22.1,4452.834000000001,1308.254,232.275,19.501,3.86
1712130000,43.6,101.0,971.98,61.234,4.8,4.8,1173.768,338.05899999999997,41.717,3.0540000000000003,1.3889999999999998
1716440400,40.2,101.0,973.414,76.184,35.7,35.7,7542.033,2231.3860000000004,352.365,22.858,5.287
1715498400,40.0,101.0,973.616,85.598,21.7,21.7,4728.941000000001,1390.721,213.96,18.397,5.32
1713847800,42.2,101.0,972.78,77.706,14.5,14.5,3374.558,979.412,130.338,7.693,1.433
1711783800,42.2,101.0,975.374,62.256,4.8,4.8,1139.652,325.784,43.553,3.327,1.2970000000000002
1712130600,43.8,101.0,971.958,74.614,4.5,4.5,1128.669,324.404,38.212,3.004,1.39
1712127000,44.0,101.0,972.358,60.04,3.5,3.5,955.2595,273.075,25.534,1.834,0.9545
1715409000,41.6,101.0,974.428,76.77,16.6,16.6,3798.03,1110.104,151.16000000000005,9.852,3.24
1712376000,38.8,101.0,973.816,80.58,10.8,10.8,2545.174,731.8230000000001,98.406,6.98,1.935
1712215800,44.8,101.0,971.166,68.816,4.2,4.2,1036.463,299.07399999999996,38.564,4.619,2.175
1715495400,40.6,101.0,974.01,77.334,17.0,17.0,3968.002,1153.953,150.192,8.172,2.184
1712726400,45.0,101.0,973.7,71.54,8.5,8.5,1883.524,550.454,77.771,3.253,1.248
1714105200,42.333,101.0,972.867,62.787,13.5,13.5,3194.1535,929.5515,117.425,5.728,1.69
1716783000,37.25,101.0,975.405,109.6,78.4,78.4,15457.329000000002,4622.209000000001,863.21,96.63,26.015
1713846600,44.25,101.0,972.98,74.71,12.7,12.7,2824.7935,822.631,118.4235,6.9270000000000005,1.916
1712560800,46.0,101.0,970.714,88.436,18.3,18.3,4165.581,1212.119,173.441,15.697,4.571
1716354600,37.6,101.0,973.174,95.822,33.3,33.3,7484.035,2187.1499999999996,316.163,25.656,6.074999999999999
1712376600,38.4,101.0,973.784,78.236,12.1,12.1,3005.4260000000004,861.142,102.606,7.596,1.569
1716669000,62.75,82.0,976.233,64.575,8.4,8.4,2091.6405,602.5515,69.8475,4.394,1.882
1715468400,63.8,82.0,977.178,108.334,66.4,66.4,14079.685,4138.223,697.8009999999999,81.894,26.089
1714692000,64.0,82.0,975.286,111.816,88.2,88.2,20218.377999999997,5916.696,836.024,79.43799999999999,18.171
1715553000,64.0,82.0,975.858,122.126,67.2,67.2,14694.521,4309.3369999999995,691.238,84.685,26.398
1714914000,61.0,82.0,976.686,83.658,38.5,38.5,7600.207,2237.7349999999997,465.016,81.99199999999999,26.896
1715292000,64.2,82.0,976.056,63.41,35.5,35.5,8058.849,2347.16,348.387,40.141,9.805
1715286600,64.2,82.0,975.83,54.616,29.5,29.5,6244.684,1835.291,315.291,40.675,12.566
1715287200,64.0,82.0,975.816,57.566,28.6,28.6,6098.294,1789.942,299.801,36.118,10.557
1716241200,62.2,82.0,975.16,61.826,38.1,38.1,8607.314,2515.965,372.9,41.137,9.115
1716240600,62.2,82.0,975.172,62.648,20.0,20.0,4464.477,1302.274,202.957,25.597,8.341000000000001
1716242400,62.6,82.0,975.262,63.362,27.5,27.5,6323.146000000001,1836.13,270.105,33.508,9.211
1716056400,63.4,82.0,974.876,136.104,14.5,14.5,3379.6809999999996,976.171,137.355,13.643,5.218
1715110800,62.8,82.0,975.188,80.022,81.0,81.0,15070.681,4512.062,903.854,76.94,12.632
1715124000,64.0,82.0,975.872,122.738,53.2,53.2,11799.487,3453.7870000000003,510.533,39.87,7.555
1715107800,62.0,82.0,975.482,67.224,28.8,28.8,5588.894,1660.068,322.673,36.619,9.656
1716151200,63.2,82.0,973.766,112.61,7.7,7.7,1764.3290000000002,512.583,76.776,10.096,4.363
1712875200,70.0,82.0,975.356,103.454,34.8,34.8,7001.985000000001,2059.642,374.948,37.82299999999999,8.767
1712874600,70.0,82.0,975.234,96.088,31.0,31.0,6135.255999999999,1806.307,335.224,31.818,6.703
1712789400,69.6,82.0,975.278,81.076,51.0,51.0,10623.698,3114.616,524.262,44.785,7.689
1715710800,66.667,82.0,976.61,64.7,26.3,26.3,5208.8765,1539.4385000000002,284.9235,27.0785,7.048
1715794800,62.6,82.0,976.94,61.53,41.7,41.7,8329.698,2463.612,466.051,59.985,18.122
1714684800,64.2,82.0,974.212,55.146,15.6,15.6,3250.996,956.767,174.702,26.94,7.831
1715551200,64.2,82.0,975.476,83.902,70.4,70.4,13783.975,4089.253,804.648,107.066,37.206
1716921600,63.0,82.0,974.706,97.35,96.7,96.7,19307.162,5745.192999999999,1043.024,105.012,29.186
1716052200,63.4,82.0,975.506,135.576,24.1,24.1,6087.428,1742.715,207.675,20.47,5.348
1716147000,62.8,82.0,973.694,108.536,11.0,11.0,2422.401,704.96,108.72,10.559,4.1259999999999994
1716150000,63.2,82.0,973.664,92.792,5.7,5.7,1373.4250000000002,398.19,52.73,6.622,3.304
1713480000,66.2,82.0,974.326,124.436,71.4,71.4,14965.323,4405.323,718.113,52.669,9.979
1716329400,63.0,82.0,974.976,124.47,70.7,70.7,14046.817,4161.446,806.727,113.181,39.649
1716501000,63.4,82.0,974.484,60.714,62.1,62.1,12204.12,3627.435,674.668,64.741,15.122
1712951400,69.8,82.0,974.53,56.834,4.5,4.5,1057.893,307.23199999999997,40.273,2.228,1.031
1712095200,69.2,82.0,975.354,101.59,21.1,21.1,4532.259,1328.4,206.32,14.108,2.694
1715727000,64.6,82.0,977.716,134.982,54.6,54.6,12218.748,3577.4579999999996,533.628,53.857,12.744
1715548200,64.0,82.0,975.194,57.884,39.5,39.5,8022.746999999999,2368.21,439.187,58.592,18.766
1714916400,61.0,82.0,977.008,85.32,25.4,25.4,5244.954,1536.825,296.23900000000003,51.888000000000005,18.086
1715629200,64.0,82.0,975.408,60.514,30.8,30.8,6029.713,1785.965,345.37,40.578,12.34
1715289600,64.0,82.0,975.962,51.462,28.7,28.7,6016.964,1768.264,321.153,51.114,15.889
1715293200,64.8,82.0,976.194,80.858,30.5,30.5,6736.582,1969.187,310.42,37.573,9.31
1715013600,62.4,82.0,976.704,65.65,37.0,37.0,7317.144,2168.209,427.551,62.351,18.66
1716144600,62.0,82.0,973.852,122.653,35.1,35.1,7573.374,2220.6549999999997,357.75750000000005,37.1425,10.137
1716161400,63.0,82.0,974.812,109.804,91.4,91.4,18013.643,5325.915,1001.587,102.2,23.586
1713216000,67.4,82.0,975.902,55.79,11.1,11.1,2676.5609999999997,773.671,96.917,7.125,2.099
1712874000,70.0,82.0,975.134,98.97,29.2,29.2,5975.657999999999,1756.487,306.793,28.558999999999997,5.843
1713474000,66.6,82.0,973.588,51.69,2.6,2.6,749.317,213.346,18.663,1.643,0.648
1713473400,67.0,82.0,973.608,54.778,2.5,2.5,700.1469999999999,197.579,18.227,1.593,0.869
1713132000,71.0,82.0,976.418,76.694,18.0,18.0,4382.9169999999995,1269.355,159.386,15.308,3.342
1716313200,62.2,82.0,975.102,54.852,16.5,16.5,3542.284,1034.673,168.385,17.329,5.867
1716317400,62.0,82.0,974.704,58.56,22.3,22.3,4625.134,1359.649,235.926,25.34,7.042
1713042600,70.6,82.0,975.504,60.768,9.5,9.5,2220.761,641.199,84.041,4.397,1.561
1713043800,70.4,82.0,975.824,84.594,12.1,12.1,2814.2169999999996,815.4490000000001,106.96,5.317,1.523
1716672000,62.25,82.0,976.395,65.4,8.8,8.8,2280.2084999999997,655.7515000000001,70.071,5.0009999999999994,2.066
1712950200,69.8,82.0,974.514,54.592,4.2,4.2,994.792,289.345,36.419,2.125,0.915
1712953800,70.0,82.0,974.114,54.236,4.9,4.9,1119.569,325.28499999999997,44.968999999999994,2.394,0.927
1715549400,64.2,82.0,975.314,57.526,37.2,37.2,7772.526,2295.701,402.572,52.517,16.28
1715634000,62.8,82.0,975.442,93.428,42.2,42.2,8121.452,2408.616,491.718,67.58600000000001,22.633000000000003
1715294400,64.0,82.0,976.234,73.838,74.4,74.4,15792.26,4673.303,758.409,73.32900000000001,16.956
1715296200,63.8,82.0,976.22,64.316,56.2,56.2,11438.409,3376.799,632.175,90.657,27.068
1715287800,64.0,82.0,975.848,59.546,25.8,25.8,5579.735000000001,1638.04,269.938,35.394999999999996,9.505
1716243000,62.0,82.0,975.32,92.464,53.1,53.1,12296.673,3579.4399999999996,505.376,53.842,13.123
1716232200,62.6,82.0,974.704,80.584,33.5,33.5,6713.416,1979.019,382.641,54.918,16.814
